Train_ID,Station_Code,Train_Priority,Weather_Condition,Time_of_Day,Day_of_Week,Network_Congestion,Active_Incident,Scheduled_Arrival_Mins,Actual_Arrival_Mins,Delay_Minutes
11559,BPL,MAIL_EXPRESS,CLEAR,EVENING,SATURDAY,MEDIUM,NO,688,718,30
26743,MAS,RAJDHANI,CLEAR,AFTERNOON,THURSDAY,LOW,NO,1033,1035,2
29701,MTJ,MAIL_EXPRESS,MONSOON_STORM,NIGHT,SATURDAY,HIGH,NO,813,883,70
14410,MMCT,FREIGHT,MONSOON_STORM,MORNING,WEDNESDAY,CRITICAL,TRACK_MAINTENANCE,178,330,152
15236,AGC,SUPERFAST,FOG,NIGHT,MONDAY,HIGH,SIGNAL_FAILURE,628,702,74
25317,MTJ,RAJDHANI,CLEAR,MORNING,SATURDAY,LOW,NO,353,354,1
29901,AGC,FREIGHT,RAIN,MORNING,TUESDAY,HIGH,NO,1049,1106,57
23464,HWH,FREIGHT,RAIN,AFTERNOON,SUNDAY,HIGH,NO,255,321,66
14308,HWH,MAIL_EXPRESS,RAIN,MORNING,SUNDAY,MEDIUM,NO,1320,1356,36
25283,MTJ,RAJDHANI,MONSOON_STORM,EVENING,WEDNESDAY,HIGH,NO,880,927,47
27076,NDLS,SUPERFAST,RAIN,NIGHT,MONDAY,MEDIUM,NO,490,513,23
16940,MTJ,FREIGHT,FOG,EVENING,WEDNESDAY,CRITICAL,NO,826,937,111
23446,MTJ,MAIL_EXPRESS,RAIN,MORNING,TUESDAY,MEDIUM,NO,1008,1043,35
22546,GWL,RAJDHANI,RAIN,NIGHT,MONDAY,MEDIUM,NO,1264,1284,20
27136,GWL,RAJDHANI,MONSOON_STORM,EVENING,SUNDAY,CRITICAL,NO,72,167,95
11148,GWL,FREIGHT,FOG,NIGHT,THURSDAY,HIGH,NO,93,156,63
19988,MTJ,MAIL_EXPRESS,CLEAR,MORNING,THURSDAY,MEDIUM,NO,37,66,29
24257,AGC,FREIGHT,FOG,NIGHT,SUNDAY,CRITICAL,TRACK_MAINTENANCE,1242,1392,150
21720,MTJ,SUPERFAST,RAIN,NIGHT,THURSDAY,MEDIUM,NO,1090,1121,31
22662,AGC,MAIL_EXPRESS,RAIN,MORNING,MONDAY,MEDIUM,NO,609,647,38
22863,JHS,RAJDHANI,CLEAR,NIGHT,WEDNESDAY,LOW,NO,281,283,2
28431,MMCT,SUPERFAST,MONSOON_STORM,EVENING,SUNDAY,HIGH,NO,742,806,64
11964,MAS,FREIGHT,CLEAR,MORNING,SATURDAY,HIGH,NO,1079,1135,56
21016,MMCT,SUPERFAST,MONSOON_STORM,NIGHT,THURSDAY,CRITICAL,NO,221,313,92
16937,MTJ,SUPERFAST,MONSOON_STORM,EVENING,FRIDAY,CRITICAL,SIGNAL_FAILURE,1360,1502,142
19736,NDLS,MAIL_EXPRESS,MONSOON_STORM,MORNING,FRIDAY,CRITICAL,NO,1278,1391,113
20510,BPL,MAIL_EXPRESS,CLEAR,MORNING,WEDNESDAY,LOW,NO,74,86,12
14250,NDLS,FREIGHT,RAIN,NIGHT,TUESDAY,HIGH,NO,1168,1225,57
15179,HWH,MAIL_EXPRESS,MONSOON_STORM,AFTERNOON,THURSDAY,HIGH,NO,398,482,84
20078,AGC,MAIL_EXPRESS,RAIN,EVENING,THURSDAY,HIGH,TRACK_MAINTENANCE,900,987,87
29356,MTJ,MAIL_EXPRESS,CLEAR,EVENING,WEDNESDAY,HIGH,CATTLE_ON_TRACK,915,975,60
22600,HWH,RAJDHANI,CLEAR,EVENING,TUESDAY,MEDIUM,NO,1396,1412,16
22328,MMCT,FREIGHT,CLEAR,AFTERNOON,TUESDAY,MEDIUM,NO,1398,1419,21
22982,NDLS,FREIGHT,RAIN,NIGHT,WEDNESDAY,MEDIUM,NO,1282,1315,33
11597,MMCT,MAIL_EXPRESS,CLEAR,MORNING,THURSDAY,LOW,NO,543,552,9
21232,BPL,RAJDHANI,RAIN,EVENING,FRIDAY,HIGH,CATTLE_ON_TRACK,625,710,85
20711,MTJ,FREIGHT,FOG,EVENING,MONDAY,CRITICAL,NO,695,808,113
25331,MMCT,SUPERFAST,FOG,EVENING,SUNDAY,HIGH,NO,607,667,60
18559,HWH,RAJDHANI,FOG,EVENING,THURSDAY,HIGH,NO,154,199,45
27701,HWH,RAJDHANI,FOG,MORNING,SATURDAY,MEDIUM,NO,76,106,30
15069,AGC,SUPERFAST,MONSOON_STORM,MORNING,THURSDAY,MEDIUM,NO,491,534,43
26466,GWL,SUPERFAST,RAIN,NIGHT,TUESDAY,MEDIUM,NO,973,1000,27
13902,NDLS,SUPERFAST,CLEAR,EVENING,SATURDAY,MEDIUM,NO,4,33,29
17952,HWH,SUPERFAST,MONSOON_STORM,EVENING,WEDNESDAY,CRITICAL,NO,608,732,124
18168,MTJ,MAIL_EXPRESS,MONSOON_STORM,NIGHT,THURSDAY,HIGH,NO,399,478,79
24223,JHS,RAJDHANI,CLEAR,AFTERNOON,FRIDAY,LOW,NO,810,813,3
20976,AGC,RAJDHANI,MONSOON_STORM,AFTERNOON,THURSDAY,CRITICAL,SIGNAL_FAILURE,843,957,114
25822,MTJ,MAIL_EXPRESS,MONSOON_STORM,NIGHT,SATURDAY,HIGH,NO,127,214,87
20629,NDLS,MAIL_EXPRESS,CLEAR,EVENING,THURSDAY,MEDIUM,NO,1188,1214,26
16419,MMCT,FREIGHT,FOG,EVENING,FRIDAY,HIGH,NO,1197,1264,67
14163,MTJ,MAIL_EXPRESS,MONSOON_STORM,EVENING,MONDAY,CRITICAL,NO,339,442,103
23761,JHS,RAJDHANI,RAIN,AFTERNOON,FRIDAY,LOW,NO,54,68,14
25192,GWL,FREIGHT,RAIN,NIGHT,THURSDAY,MEDIUM,NO,815,859,44
